21/11/2021;9:23:00;0;quieta en refugio, bajo coirones y manca caballo
21/11/2021;22:00:00;0;inactiva en refugio, queda con el tortugometro toda la noche, sin el hilo porque no llegamos a tiempo
22/11/2021;7:07:00;0;sacamos tortugometro apagado, lo cargamos con la bateria portatil y tardo 1 hora y media en cargarse.
22/11/2021;9:46:00;0;media sombra bajo un matacebo
22/11/2021;20:00:00;0;retiro del tortugometro apagado
23/11/2021;7:50:00;0;colocacion de tortugometro, mismo refugio noche anterior
23/11/2021;7:40:00;0;sacamos tortugometro apagado bajo coirones y alpataco, ponemos hilo nuevo
24/11/2021;6:54:00;0;se coloca tortugometro, mismo lugar que anoche
24/11/2021;12:28:00;0;quieta a la sombra bajo manca caballo, todavia con hilo
24/11/2021;19:00:00;0;activa quieta al sol
24/11/2021;19:30:00;0;sacamos tortugometro prendido, ponemos hilo, semiexpuesta en alpataco
25/11/2021;7:24:00;0;quieta en refugio inactiva bajo mata baja, colocamos tortugometro OBSERVA ANDRES (transcribo anotaciones de Andres)
25/11/2021;8:30:00;0;activa a 3m del refugio quieta
25/11/2021;9:15:00;3;activa comiendo tomando sol, el cuerpo quieto mueve la cabeza, 2 patas delanteras paradas segun la altura de la planta, dos bajas, termina de masticar y cambia la posicion
25/11/2021;10:08:00;3;la tortuga percibe en varios momentos la presencia del observador por ruidos y gira cabeza para observar
25/11/2021;10:11:00;1;se abre paso con trabajo entre la maleza
25/11/2021;10:13:00;0;se queda quieta entre arbustos a media luz
25/11/2021;11:17:00;7;ejemplar con hilo, en sombra parcial, echando patadas hacia atras
25/11/2021;11:53:00;0;refugiada quieta todavia le queda hilo
25/11/2021;12:03:00;1; 
25/11/2021;12:05:00;0;se refugia 
25/11/2021;18:26:00;0;abajo de mata de helechito, se movio 1m del ultimo refugio de las 13hs
25/11/2021;20:36:00;0;saco tortugometro prendido
26/11/2021;7:52:00;0;parece que este dia no tomo datos el tortugometro, colocacion de tortugometro, mismo refugio que ayer
26/11/2021;12:22:00;0;bajo matacebo a la sombra
26/11/2021;14:39:00;1;caminando cruzo el camino a la altura  de olivillos 3er pedazo
